[run number],connect-number,resource-abundance,altruist-number,Max.Resource,Shared,hardship,miser-number,[step],sum [Waste] of misers,sum [Harvest] of misers,min [Harvest] of misers,max [Harvest] of misers,count (misers) with [Harvest <= 0]
7,3,2,0,52,0.33,0.1,20,37,5388.5,1024.5,48,52,0
2,3,2,0,52,0.33,0.1,20,50,6302,1040,52,52,0
4,3,2,0,52,0.33,0.1,20,40,6875,1027,50,52,0
8,3,2,0,52,0.33,0.1,20,41,5414,1007,42,52,0
1,3,2,0,52,0.33,0.1,20,36,6103,1037,50,52,0
5,3,2,0,52,0.33,0.1,20,38,6547.5,1038.5,50.5,52,0
3,3,2,0,52,0.33,0.1,20,38,6582,991,6,52,0
7,3,2,0,52,0.33,0.1,20,38,5462.5,1016.5,46,52,0
2,3,2,0,52,0.33,0.1,20,51,6488,1038,50,52,0
3,3,2,0,52,0.33,0.1,20,39,6582,974,6,52,0
4,3,2,0,52,0.33,0.1,20,41,6964,1020,48,52,0
6,3,2,0,52,0.33,0.1,20,39,6317,1027,49,52,0
3,3,2,0,52,0.33,0.1,20,40,6632,971,6,52,0
8,3,2,0,52,0.33,0.1,20,42,5569.5,1033,49,52,0
5,3,2,0,52,0.33,0.1,20,39,6778.5,1039,51,52,0
1,3,2,0,52,0.33,0.1,20,37,6292,1038,51,52,0
2,3,2,0,52,0.33,0.1,20,52,6714,1039,51,52,0
4,3,2,0,52,0.33,0.1,20,42,7210.5,1037.5,50,52,0
7,3,2,0,52,0.33,0.1,20,39,5605,1037,50,52,0
6,3,2,0,52,0.33,0.1,20,40,6534.5,1038.5,50.5,52,0
3,3,2,0,52,0.33,0.1,20,41,6802,988,6,52,0
8,3,2,0,52,0.33,0.1,20,43,5783,1037,49,52,0
2,3,2,0,52,0.33,0.1,20,53,6880,1037,50,52,0
4,3,2,0,52,0.33,0.1,20,43,7363.5,1029.5,50,52,0
5,3,2,0,52,0.33,0.1,20,40,6911.5,1033.5,50,52,0
1,3,2,0,52,0.33,0.1,20,38,6407.5,1024.5,49,52,0
6,3,2,0,52,0.33,0.1,20,41,6750,1040,52,52,0
4,3,2,0,52,0.33,0.1,20,44,7441.5,1021.5,49,52,0
7,3,2,0,52,0.33,0.1,20,40,5820,1040,52,52,0
5,3,2,0,52,0.33,0.1,20,41,6911.5,1016,48,52,0
3,3,2,0,52,0.33,0.1,20,42,7020,993,6,52,0
2,3,2,0,52,0.33,0.1,20,54,7092,1040,52,52,0
8,3,2,0,52,0.33,0.1,20,44,5983.5,1040,52,52,0
5,3,2,0,52,0.33,0.1,20,42,6928.5,999.5,46,52,0
1,3,2,0,52,0.33,0.1,20,39,6559,1033,48,52,0
8,3,2,0,52,0.33,0.1,20,45,6094.5,1031.5,50,52,0
6,3,2,0,52,0.33,0.1,20,42,7010,1039,51,52,0
8,3,2,0,52,0.33,0.1,20,46,6111.5,1017,48,52,0
4,3,2,0,52,0.33,0.1,20,45,7491.5,1003.5,47.5,52,0
2,3,2,0,52,0.33,0.1,20,55,7292,1038,50,52,0
7,3,2,0,52,0.33,0.1,20,41,6021,1040,52,52,0
3,3,2,0,52,0.33,0.1,20,43,7239,994,6,52,0
5,3,2,0,52,0.33,0.1,20,43,7124.5,1036,48,52,0
1,3,2,0,52,0.33,0.1,20,40,6674.5,1019.5,46,52,0
1,3,2,0,52,0.33,0.1,20,41,6674.5,998.5,44,52,0
2,3,2,0,52,0.33,0.1,20,56,7474,1036,50,52,0
4,3,2,0,52,0.33,0.1,20,46,7624,1005,46,52,0
8,3,2,0,52,0.33,0.1,20,47,6282.5,1035.5,48.5,52,0
6,3,2,0,52,0.33,0.1,20,43,7258,1040,52,52,0
7,3,2,0,52,0.33,0.1,20,42,6216,1039,51,52,0
3,3,2,0,52,0.33,0.1,20,44,7444.5,992.5,6,52,0
1,3,2,0,52,0.33,0.1,20,42,6742.5,1004.5,46,52,0
5,3,2,0,52,0.33,0.1,20,44,7346,1040,52,52,0
6,3,2,0,52,0.33,0.1,20,44,7329.5,1025.5,50,52,0
2,3,2,0,52,0.33,0.1,20,57,7678.5,1039.5,51.5,52,0
1,3,2,0,52,0.33,0.1,20,43,6757,984,44,52,0
8,3,2,0,52,0.33,0.1,20,48,6474,1039.5,51.5,52,0
1,3,2,0,52,0.33,0.1,20,44,6790.5,980.5,42,52,0
4,3,2,0,52,0.33,0.1,20,47,7877,1040,52,52,0
7,3,2,0,52,0.33,0.1,20,43,6396,1036,50,52,0
6,3,2,0,52,0.33,0.1,20,45,7385.5,1024.5,48,52,0
